Intersul (A)
917 sV917 Realengo - Bonsucesso (via Rua Marina) |
919 919 Pavuna - Bonsucesso (Parque União) |
920 920 Pavuna - Bonsucesso (via Fazenda Botafogo) |
922 922 Aeroporto - Tubiacanga - Via Light | C
924 924 Aeroporto - Bananal |
925 925 Aeroporto - Bancários | C
928 928 Marechal Hermes - Ramos | C
934 934 Ribeira - Portuguesa (via Cocotá) | C
935 935 Ribeira - Portuguesa | C
942 942 Penha - Pavuna |
944 944 Pavuna - Conjunto Engenheiro Rubens Paiva | C
945 945 Pavuna - Cidade Universitária |
945 947 Pavuna - Coelho Neto (via Deodoro) | C
949 sV944 Pavuna - Conjunto Engenheiro Rubens Paiva (via Rua Sargento A. Ernesto) | C
956 956 Penha - Invernada (via Penha) | C
1051 2251 Castelo - Engenho de Dentro | E BRS4
1095 2295 Castelo - Pavuna | BRS4
1142 2342 Castelo - Bananal (via Linha Vermelha) | BRS4
1143 2343 Castelo - Ribeira (via Linha Vermelha) | BRS4
1144 2344 Castelo - Bancários | BRS4
2145 2101 Aeroporto Internacional - Aeroporto Santos Dumont |
2145 2145 Aeroporto Internacional - Aeroporto Santos Dumont | BRS4
M92 321 Bancários - Castelo (via Linha Vermelha) | C BRS4
M93 323 Bananal - Castelo (via Cacuia) | C BRS4
s032 950 Vicente de Carvalho - Vista Alegre (via Av. Meriti/shopping Via Brasil) | C
s033 951 Vicente de Carvalho - Vista Alegre (via Est. Padre Roser/shopping Via Brasil) | C
sE002 2302 Mariópolis - Castelo | BRS4
sE005 2305 Jardim América - Castelo | BRS4

===

Transcarioca (C)
- 501 Barra da Tijuca - Gávea (via Av. das Américas) | C
- 502 Recreio dos Bandeirantes - Gávea (via Av. das Américas) | C
- 504 Piabas - Gávea (via Av. Benvindo de Novaes) |
- 505 Recreio dos Band. - Gávea |
- 556 Rio das Pedras - Leblon | C
- sV2345 Castelo - Vila Valqueire (via Norte Shopping) |
- sE614 Del Castilho - Alvorada (via Engenhão) |
267 612 Del Castilho - Gardenia Azul (via Linha Amarela) |
175 308 Central - Barra da Tijuca (via Copacabana/Av. das Américas) | BRS3
